PC,Inst Name,Jump?,Jump Addr
0x1CD7,"JR NZ,$1CD2  [-7]",1,0x1CD2
0x4C4B,"JR NZ,$4C18  [-53]",1,0x4C18
0x4C4F,"JR NZ,$4C1C  [-53]",1,0x4C1C
0x4CA8,"JR NZ,$4C6C  [-62]",1,0x4C6C
0x4CA9,"JP NZ,$4C66",1,0x4C66
0x4CF7,"JR NZ,$4CBB  [-62]",1,0x4CBB
0x4CF8,"JP NZ,$4CB6",1,0x4CB6
0x4DF2,RET NC,0,0x0
0x4DCF,"JP NC,$36C6",1,0x36C6
0xD51,"CALL NC,$7EC6",1,0x7EC6
0xD55,"JR NZ,$0D5A  [+3]",1,0xD5A
0x6C,"JR Z,$0079  [+11]",1,0x79
0x84,JP (HL),0,0x0
0x1B12,RET Z,0,0x0
0x1DEA,"JR NZ,$1E63  [+119]",1,0x1E63
